track,test_session,test_drone,condition,test_lap_relative,lap_index_abs,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
track-003,LO_s001,LiftOff_200,cross_drone,1,2,2135,21.443679809570312,1.757766600010001,6.385970341974483,0.04590163934426229
track-003,LO_s001,LiftOff_200,cross_drone,2,3,2162,21.7217378616333,1.4616736603347489,6.863589779652596,0.0698427382053654
track-003,LO_s001,LiftOff_200,cross_drone,3,4,2277,22.943038940429688,2.322426786202584,27.209646630042705,0.11989459815546773
track-003,LO_s001,LiftOff_200,cross_drone,4,5,2164,21.706779956817627,2.588436755870486,31.881446859514128,0.18160813308687615
track-003,LO_s002,LiftOff_200,cross_drone,1,2,2078,20.852827072143555,1.7586687204266411,30.559343172234406,0.11645813282001925
track-003,LO_s002,LiftOff_200,cross_drone,2,3,2130,21.37496781349182,1.6985210726934952,14.840614393433349,0.09953051643192488
track-003,LO_s002,LiftOff_200,cross_drone,3,4,2067,20.743649005889893,2.457514535232093,24.098745691842836,0.1301402999516207
track-003,LO_s002,LiftOff_200,cross_drone,4,5,2089,21.04868507385254,2.2769366116004903,33.615358570688514,0.22786022020105315
track-003,LO_s002,LiftOff_200,cross_drone,5,6,2163,21.7118239402771,3.603306815378403,47.637734981058095,0.20110957004160887
track-004,MT_s001,MadTrainer,same_drone,1,2,2464,24.73600196838379,1.544382705903658,8.072513201440179,0.04342532467532467
track-004,MT_s001,MadTrainer,same_drone,2,3,2446,24.55680012702942,1.7887786136341575,5.400676060595572,0.017170891251022075
track-004,MT_s001,MadTrainer,same_drone,3,4,2513,25.229079961776733,3.0308200994253696,78.69110901479804,0.24990051730998805
track-004,MT_s001,MadTrainer,same_drone,4,5,2453,24.645817041397095,2.8380683876355874,22.23676243243082,0.11373827965756217
track-004,MT_s002,MadTrainer,same_drone,1,2,2414,24.23090100288391,1.7287267979257805,8.802593910258112,0.050124275062137534
track-004,MT_s002,MadTrainer,same_drone,2,3,2406,24.21588897705078,1.7643269389354828,7.422310150417161,0.056940980881130504
track-004,MT_s003,MadTrainer,same_drone,1,2,2347,23.562101125717163,1.3318547037452362,9.734356466100905,0.09288453344695356
track-004,MT_s003,MadTrainer,same_drone,2,3,2350,23.618802070617676,1.2590561146646273,7.180665241059592,0.07021276595744681
track-004,MT_s003,MadTrainer,same_drone,3,4,2445,24.55002498626709,2.517924794568046,16.388905567687768,0.10797546012269939
track-004,MT_s003,MadTrainer,same_drone,4,5,2324,23.33957600593567,1.3347566430857256,4.840864582387006,0.020654044750430294
track-004,MT_s004,MadTrainer,same_drone,1,2,2277,22.866880893707275,1.1284071923633405,4.729539159700456,0.0
track-004,MT_s004,MadTrainer,same_drone,2,3,2290,23.007908821105957,1.3248807593715561,4.468561207174133,0.0
track-004,MT_s004,MadTrainer,same_drone,3,4,2366,23.807805061340332,1.4262838863544474,5.120303253070048,0.0008453085376162299
track-004,MT_s005,MadTrainer,same_drone,1,2,2219,22.270829916000366,1.0698590359467914,3.3119333272123086,0.0013519603424966202
track-004,MT_s005,MadTrainer,same_drone,2,3,2245,22.552650928497314,1.4425643659898313,10.249171154860461,0.08685968819599109
track-004,MT_s005,MadTrainer,same_drone,3,4,2319,23.287094831466675,1.3356583664688486,5.796837446033375,0.036653730056058646
track-004,MT_s005,MadTrainer,same_drone,4,5,2344,23.546674013137817,1.7147511330361311,21.865733802308235,0.12030716723549488
track-004,MT_s005,MadTrainer,same_drone,5,6,2331,23.395131826400757,1.322059327486869,9.106435128769391,0.08923208923208924
track-004,MT_s005,MadTrainer,same_drone,6,7,2313,23.25068998336792,1.3072424995277316,4.2110123326246045,0.020752269779507133
track-004,MT_s006,MadTrainer,same_drone,1,2,2353,23.6399929523468,1.3010077890371434,5.916764446845777,0.039524011899702505
track-004,MT_s006,MadTrainer,same_drone,2,3,2338,23.50402307510376,1.2619485360055762,5.184962599697113,0.0
track-004,MT_s006,MadTrainer,same_drone,3,4,2225,22.37160301208496,1.222304472741385,4.99875544024872,0.023820224719101123
track-004,MT_s006,MadTrainer,same_drone,4,5,2271,22.82292079925537,1.9485111298648832,40.39552138162631,0.16732716864817263
track-004,MT_s006,MadTrainer,same_drone,5,6,2307,23.175868034362793,1.0683507850152125,3.4162527438927865,0.01517121803207629
track-004,MT_s006,MadTrainer,same_drone,6,7,2232,22.38798189163208,1.5275991135199476,7.350209223187727,0.02867383512544803
