flight_id,drone,rate,drone_cond,mode,preset,obs_sigma,lap_index,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R,1.0,4,2443,24.53,0.527,2.698,0.0
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R,1.5,2,2466,24.77,2.363,12.267,0.077
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R,1.5,3,2524,25.35,2.998,106.343,0.2627
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R,1.5,4,2443,24.53,0.735,3.541,0.002
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Y+P+2R,1.0,2,2466,24.77,2.839,36.525,0.2551
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Y+P+2R,1.0,3,2524,25.35,2.855,52.687,0.2651
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Y+P+2R,1.0,4,2443,24.53,0.597,3.049,0.0
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Y+P+2R,1.5,2,2466,24.77,1.978,30.465,0.1857
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Y+P+2R,1.5,3,2524,25.35,2.62,25.087,0.1838
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Y+P+2R,1.5,4,2443,24.53,0.863,3.972,0.0
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,R+Y_only,1.0,2,2466,24.77,3.465,123.007,0.2956
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,R+Y_only,1.0,3,2524,25.35,2.696,41.076,0.227
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,R+Y_only,1.0,4,2443,24.53,0.684,3.324,0.007
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,R+Y_only,1.5,2,2466,24.77,1.835,17.753,0.1079
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,R+Y_only,1.5,3,2524,25.35,2.192,26.225,0.147
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,R+Y_only,1.5,4,2443,24.53,0.855,3.991,0.0016
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+P+R,1.0,2,2466,24.77,2.277,13.07,0.0872
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+P+R,1.0,3,2524,25.35,2.48,81.413,0.2266
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+P+R,1.0,4,2443,24.53,0.489,2.499,0.0
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+P+R,1.5,2,2466,24.77,1.744,8.151,0.0483
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+P+R,1.5,3,2524,25.35,2.863,48.081,0.2191
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+P+R,1.5,4,2443,24.53,0.67,3.73,0.0
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R+Y,1.0,2,2466,24.77,4.073,82.03,0.296
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R+Y,1.0,3,2524,25.35,2.687,58.184,0.267
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R+Y,1.0,4,2443,24.53,0.5,2.715,0.0
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R+Y,1.5,2,2466,24.77,1.365,8.653,0.0665
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R+Y,1.5,3,2524,25.35,2.058,24.1,0.1565
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R+Y,1.5,4,2443,24.53,0.671,3.671,0.0065
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,soft_thr,1.0,2,2466,24.77,1.485,7.727,0.0673
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,soft_thr,1.0,3,2524,25.35,2.867,59.177,0.2587
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,soft_thr,1.0,4,2443,24.53,0.626,3.501,0.0037
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,soft_thr,1.5,2,2466,24.77,1.654,20.802,0.1269
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,soft_thr,1.5,3,2524,25.35,2.204,25.262,0.166
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,soft_thr,1.5,4,2443,24.53,0.858,8.259,0.0106
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,angular_scaled,1.0,2,2466,24.77,2.084,33.77,0.176
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,angular_scaled,1.0,3,2524,25.35,2.542,26.576,0.1739
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,angular_scaled,1.0,4,2443,24.53,0.788,4.347,0.0045
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,angular_scaled,1.5,2,2466,24.77,1.465,13.584,0.0965
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,angular_scaled,1.5,3,2524,25.35,2.154,19.694,0.1212
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,angular_scaled,1.5,4,2443,24.53,1.014,11.692,0.0622
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,P+R_only,1.0,2,2466,24.77,4.195,73.041,0.3179
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,P+R_only,1.0,3,2524,25.35,4.078,79.743,0.229
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,P+R_only,1.0,4,2443,24.53,0.717,3.987,0.0115
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,P+R_only,1.5,2,2466,24.77,3.336,36.903,0.2522
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,P+R_only,1.5,3,2524,25.35,3.206,21.565,0.1826
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,P+R_only,1.5,4,2443,24.53,1.049,5.611,0.0041
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,baseline,1.0,3,2523,25.22,5.095,97.534,0.411
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,baseline,1.0,4,2609,26.08,2.5,42.314,0.1411
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,baseline,1.0,5,2488,24.87,27.657,118.653,0.5535
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,baseline,1.5,3,2523,25.22,3.67,74.424,0.2255
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,baseline,1.5,4,2609,26.08,2.418,12.292,0.0866
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,baseline,1.5,5,2488,24.87,2.427,11.871,0.0498
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,no_thr,1.0,3,2523,25.22,6.897,85.321,0.3508
