flight_id,drone,rate,drone_cond,mode,preset,obs_sigma,n_laps,median_err_m,p90_err_m,jump_rate
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Thr+R+Y,1.5,3,4.068,62.643,0.278
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Y+P+2R,1.0,3,2.832,80.349,0.217
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,Y+P+2R,1.5,3,2.062,14.133,0.085
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,angular_scaled,1.0,3,2.116,17.429,0.09
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,angular_scaled,1.5,3,1.802,13.458,0.049
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,baseline,1.0,3,6.19,87.991,0.358
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,baseline,1.5,3,2.736,69.838,0.241
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,no_thr,1.0,3,3.545,63.902,0.226
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,no_thr,1.5,3,1.894,8.882,0.026
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,soft_thr,1.0,3,1.723,29.507,0.139
4,LiftOff_200,RedSheep_rate,cross_drone,LF+Rate,soft_thr,1.5,3,1.86,53.034,0.12
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,P+R_only,1.0,3,4.909,83.158,0.255
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,P+R_only,1.5,3,2.97,15.109,0.102
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,R+Y_only,1.0,3,7.438,76.387,0.277
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,R+Y_only,1.5,3,2.32,42.597,0.161
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,Thr+P+R,1.0,3,17.003,118.672,0.475
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,Thr+P+R,1.5,3,5.242,88.16,0.326
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,Thr+R,1.0,3,53.24,122.456,0.72
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,Thr+R,1.5,3,43.43,120.909,0.645
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,Thr+R+Y,1.0,3,15.962,116.927,0.472
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,Thr+R+Y,1.5,3,4.623,75.803,0.295
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,Y+P+2R,1.0,3,3.366,66.022,0.244
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,Y+P+2R,1.5,3,1.972,15.573,0.101
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,angular_scaled,1.0,3,2.179,31.697,0.101
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,angular_scaled,1.5,3,1.733,12.042,0.048
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,baseline,1.0,3,18.419,122.6,0.474
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,baseline,1.5,3,2.911,65.398,0.194
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,no_thr,1.0,3,2.295,29.735,0.108
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,no_thr,1.5,3,1.994,8.727,0.043
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,soft_thr,1.0,3,1.749,31.46,0.146
4,LiftOff_200,RedSheep_rate,cross_drone,RC+Rate,soft_thr,1.5,3,1.68,20.842,0.103
