ref_name,ref_variant,ref_pilot,flight_id,preset,sigma,seq,gate_id,s_gate_m,s_est_m,gate_err_m
Grom_4,sim,Gromozeka,RedSeep-S007,no_thr,4.0,42,5,54.841336256981506,29.312828164381045,25.52850809260046
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,11,2,30.601148194834188,31.110640320509027,0.5094921256748393
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,12,3,35.46557956935326,37.00181482042851,1.5362352510752473
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,13,4,47.388526892541385,40.42150876590338,6.967018126638003
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,14,5,54.841336256981506,36.09712022510528,18.744216031876228
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,15,6,66.90792826194613,67.76836933564456,0.8604410736984391
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,16,7,72.15013573120596,73.68859043753879,1.5384547063328284
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,17,8,75.91000564377816,76.18594106819388,0.27593542441572083
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,18,9,81.1273760705135,81.15667221755363,0.029296147040128062
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,19,10,87.0158040302251,98.56649422189204,11.550690191666945
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,20,11,94.47179284508466,95.34826252122505,0.8764696761403883
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,21,0,100.73933871666817,98.59604325161143,2.143295465056738
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,24,1,5.546193004467491,3.2186346288226657,2.3275583756448253
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,25,2,30.601148194834188,11.708763475304329,18.892384719529858
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,26,3,35.46557956935326,17.1283726664961,18.337206902857158
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,27,4,47.388526892541385,28.320886709284913,19.067640183256472
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,28,5,54.841336256981506,28.847759291663486,25.99357696531802
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,29,6,66.90792826194613,67.80642585378112,0.898497591834996
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,30,7,72.15013573120596,75.73212114271452,3.5819854115085548
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,31,8,75.91000564377816,75.56643020053133,0.3435754432468343
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,32,9,81.1273760705135,80.77555772125775,0.3518183492557512
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,33,10,87.0158040302251,88.6738884747823,1.658084444557204
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,34,11,94.47179284508466,94.01639581685016,0.45539702823450057
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,35,0,100.73933871666817,99.56511531175879,1.1742234049093838
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,38,1,5.546193004467491,4.057667045212934,1.4885259592545568
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,39,2,30.601148194834188,12.801987266189197,17.79916092864499
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,40,3,35.46557956935326,24.365916639373182,11.099662929980077
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,41,4,47.388526892541385,29.293596196914226,18.09493069562716
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,2.0,42,5,54.841336256981506,29.357926752061495,25.48340950492001
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,11,2,30.601148194834188,25.46470195683192,5.136446238002268
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,12,3,35.46557956935326,31.136337694694582,4.329241874658678
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,13,4,47.388526892541385,37.578720156531766,9.80980673600962
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,14,5,54.841336256981506,39.471627660064115,15.369708596917391
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,15,6,66.90792826194613,63.49980171871695,3.408126543229173
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,16,7,72.15013573120596,64.89663273514279,7.253502996063176
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,17,8,75.91000564377816,56.96407513786104,18.945930505917126
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,18,9,81.1273760705135,73.15961967668231,7.967756393831195
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,19,10,87.0158040302251,98.43954861904903,11.423744588823936
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,20,11,94.47179284508466,98.76328635420668,4.29149350912202
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,21,0,100.73933871666817,100.7120703389076,0.027268377760577778
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,24,1,5.546193004467491,2.249551028327985,3.296641976139506
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,25,2,30.601148194834188,11.176412034684532,19.424736160149656
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,26,3,35.46557956935326,16.350635625440074,19.114943943913186
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,27,4,47.388526892541385,28.192478396806656,19.19604849573473
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,28,5,54.841336256981506,31.681638443832906,23.1596978131486
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,29,6,66.90792826194613,60.45679832437898,6.451129937567146
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,30,7,72.15013573120596,36.39374905790517,35.756386673300796
Grom_4,sim,Gromozeka,RedSeep-S007,angular_scaled,4.0,31,8,75.91000564377816,40.43792861119043,35.472077032587734
