ref_name,ref_pilot,ref_rate,flight_id,test_pilot,test_rate,pilot_cond,preset,lap_index,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
RedSeep_S2,RedSeep,RedSheep_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,no_thr,5,1669,16.767875909805298,3.3709754413198496,65.5359214512027,0.3211503894547633
RedSeep_S2,RedSeep,RedSheep_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,no_thr,6,1622,16.26730513572693,4.422304345943424,68.09281867371583,0.2903822441430333
RedSeep_S2,RedSeep,RedSheep_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,cross_pilot,no_thr,7,1615,16.196600914001465,8.983593690799125,95.09656869032578,0.4321981424148607
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,baseline,13,2307,23.15007710456848,38.87185594744261,96.9804898478946,0.6770697876029476
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,baseline,14,2625,26.3830509185791,41.68253947708902,117.91513461143316,0.6548571428571428
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,baseline,15,2334,23.44292402267456,39.2187961544335,90.03960283424092,0.68337617823479
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,angular_scaled,13,2307,23.15007710456848,4.806579857455063,34.728158660930596,0.15604681404421328
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,angular_scaled,14,2625,26.3830509185791,6.6510209162437945,45.50786324266831,0.3314285714285714
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,angular_scaled,15,2334,23.44292402267456,6.392817920771634,46.61819578656907,0.24378748928877464
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,no_thr,13,2307,23.15007710456848,6.242874177304145,75.2159320440066,0.21499783268313827
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,no_thr,14,2625,26.3830509185791,47.51283079005333,105.2530993843769,0.6502857142857142
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Grom-S4,Gromozeka,Gromozeka_rate,cross_pilot,no_thr,15,2334,23.44292402267456,12.170133255231733,88.27767330738557,0.4665809768637532
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,baseline,6,1803,18.10832190513611,8.020618868244725,112.5685296572835,0.3349972268441486
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,baseline,7,1726,17.334311962127686,7.664096025289774,106.75811326569723,0.3783314020857474
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,baseline,8,1719,17.250370025634766,16.100034649179236,125.34926648879133,0.5171611401977894
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,angular_scaled,6,1803,18.10832190513611,6.821349618154414,109.51234692474888,0.32224070992789794
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,angular_scaled,7,1726,17.334311962127686,10.583797334265432,116.34864460782919,0.4246813441483198
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,angular_scaled,8,1719,17.250370025634766,7.103690443880161,122.12720633199503,0.33507853403141363
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,no_thr,6,1803,18.10832190513611,6.436747843145255,113.13940275443035,0.2878535773710483
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,no_thr,7,1726,17.334311962127686,14.025462427257182,114.81719490376237,0.49710312862108924
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,no_thr,8,1719,17.250370025634766,8.264637634086931,96.853959945467,0.34554973821989526
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,same_pilot,baseline,5,1669,16.767875909805298,0.7469377796464727,4.17330175318441,0.0
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,same_pilot,baseline,6,1622,16.26730513572693,1.9904428356638455,7.6814018399630655,0.03329223181257707
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,same_pilot,baseline,7,1615,16.196600914001465,1.8397715308366003,11.37667460051623,0.08297213622291022
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,same_pilot,angular_scaled,5,1669,16.767875909805298,1.264119338428742,5.919015178091445,0.0
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,same_pilot,angular_scaled,6,1622,16.26730513572693,2.075847584131946,8.704721751491824,0.03514180024660912
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,same_pilot,angular_scaled,7,1615,16.196600914001465,1.8056739930403438,8.535454108717742,0.0
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,same_pilot,no_thr,5,1669,16.767875909805298,0.9391494969934513,4.578183505550692,0.0
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,same_pilot,no_thr,6,1622,16.26730513572693,2.059416546508153,7.242630437143885,0.01911220715166461
PlatOnAir_1,PlatOnAir,PlatOnAir_rate,Plat-S27,PlatOnAir,PlatOnAir_rate,same_pilot,no_thr,7,1615,16.196600914001465,1.4987861065603454,7.583684569852546,0.0
