ref_source,ref_drone,flight_id,test_drone,drone_cond,lap_selection,n_laps,smooth_w,test_lap,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,5,9,3,2509,25.217001914978027,1.7167759288896036,7.165220952644055,0.005978477481068154
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,5,9,4,2597,26.059934854507446,1.4335426935618756,5.684738916539721,0.011551790527531768
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,5,9,5,2477,24.85981011390686,1.8457266166632564,6.393354199944941,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,5,15,3,2509,25.217001914978027,1.8690612666286768,7.875305697565416,0.027500996412913512
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,5,15,4,2597,26.059934854507446,1.8440769110949589,6.607896337663804,0.02464381979206777
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,5,15,5,2477,24.85981011390686,1.9148054654684117,6.80509846007567,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,1,3,2509,25.217001914978027,1.5659234476676716,8.116964612079382,0.008369868473495417
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,1,4,2597,26.059934854507446,1.6255857932788444,4.985830976496641,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,1,5,2477,24.85981011390686,1.7243251394611434,6.542007819583148,0.014129995962858296
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,3,3,2509,25.217001914978027,1.630492426335536,8.021505499969562,0.008369868473495417
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,3,4,2597,26.059934854507446,1.7090575931701721,5.110693677339714,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,3,5,2477,24.85981011390686,1.802927892400433,7.494600688321601,0.015341138473960436
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,5,3,2509,25.217001914978027,1.7224697792601091,8.292693232482547,0.011956954962136309
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,5,4,2597,26.059934854507446,1.6532894692080902,4.1779391938727475,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,5,5,2477,24.85981011390686,1.600305065441205,7.259523489123672,0.014129995962858296
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,1,9,3,2509,25.217001914978027,1.8905540239338592,8.129892664550843,0.0007971303308090873
