condition,test_session,sigma_cam,T_update,seed,test_lap_relative,lap_index_abs,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
same_drone,MT_s004,1.0,0.2,4,9,9,2312,23.21662998199463,0.6750918566860236,1.7635535216398626,0.0
same_drone,MT_s004,1.0,0.2,4,10,10,2346,23.52618908882141,0.7560778676190125,2.0279377507768714,0.013640238704177323
same_drone,MT_s004,1.0,0.2,4,11,11,2666,26.786911964416504,0.7824805604126652,5.150644664240019,0.01800450112528132
same_drone,MT_s004,1.0,0.2,4,12,12,2344,23.593735933303833,0.689865428366943,2.050308839392964,0.0
same_drone,MT_s004,1.0,0.2,4,13,13,2307,23.15007710456848,0.7472640643471777,1.8963528373415386,0.0
same_drone,MT_s004,1.0,0.2,4,14,14,2625,26.3830509185791,0.6834794384900249,2.146478903103707,0.0
same_drone,MT_s004,1.0,0.2,4,15,15,2334,23.44292402267456,0.623182044016712,2.347796337670048,0.0
same_drone,MT_s004,1.0,0.5,0,1,1,2472,24.886879920959473,1.0728705795533493,2.5826804578002553,0.0
same_drone,MT_s004,1.0,0.5,0,2,2,2524,25.33614683151245,0.9979178421923134,3.0658607697438622,0.0
same_drone,MT_s004,1.0,0.5,0,3,3,2665,26.740379095077515,0.973138242008281,3.3197146739188823,0.0
same_drone,MT_s004,1.0,0.5,0,4,4,2618,26.25896406173706,0.9255513037792511,2.5734634656362614,0.0
same_drone,MT_s004,1.0,0.5,0,5,5,2530,25.401978969573975,1.0029182265232297,2.936730340570065,0.0035573122529644267
same_drone,MT_s004,1.0,0.5,0,6,6,2525,25.403844833374023,1.068413511010533,3.257038416663236,0.006336633663366337
same_drone,MT_s004,1.0,0.5,0,7,7,2722,27.329137802124023,1.1184920785567272,5.676309971758835,0.03930933137398971
same_drone,MT_s004,1.0,0.5,0,8,8,2312,23.212925910949707,1.0581454917303788,2.680935984606402,0.0008650519031141869
same_drone,MT_s004,1.0,0.5,0,9,9,2312,23.21662998199463,0.8733226733260704,2.7223866420142726,0.0012975778546712802
same_drone,MT_s004,1.0,0.5,0,10,10,2346,23.52618908882141,1.048272801196802,2.907637356550566,0.013640238704177323
same_drone,MT_s004,1.0,0.5,0,11,11,2666,26.786911964416504,1.0295261806015374,6.346713871623919,0.03938484621155289
same_drone,MT_s004,1.0,0.5,0,12,12,2344,23.593735933303833,0.9412553237576837,2.5823533204989846,0.0034129692832764505
same_drone,MT_s004,1.0,0.5,0,13,13,2307,23.15007710456848,0.9105946571547747,3.670929253818585,0.0
same_drone,MT_s004,1.0,0.5,0,14,14,2625,26.3830509185791,1.0133612525156082,2.797332924762504,0.0
same_drone,MT_s004,1.0,0.5,0,15,15,2334,23.44292402267456,0.8397019118945295,2.7211966750296352,0.006855184233076264
same_drone,MT_s004,1.0,0.5,1,1,1,2472,24.886879920959473,0.8217245196698499,2.601291096386767,0.0
same_drone,MT_s004,1.0,0.5,1,2,2,2524,25.33614683151245,1.1015704449603696,2.78194410191276,0.0019809825673534074
same_drone,MT_s004,1.0,0.5,1,3,3,2665,26.740379095077515,1.1131660155342615,2.8470415640646047,0.0
same_drone,MT_s004,1.0,0.5,1,4,4,2618,26.25896406173706,0.8259767630164561,2.242288677449401,0.0
same_drone,MT_s004,1.0,0.5,1,5,5,2530,25.401978969573975,0.8621237891076241,2.809310068594777,0.0
same_drone,MT_s004,1.0,0.5,1,6,6,2525,25.403844833374023,1.000481411379269,3.8468010470521077,0.006336633663366337
same_drone,MT_s004,1.0,0.5,1,7,7,2722,27.329137802124023,1.312854375744223,5.390487451645931,0.046289493019838354
same_drone,MT_s004,1.0,0.5,1,8,8,2312,23.212925910949707,0.90451848091908,2.727806629000424,0.0
same_drone,MT_s004,1.0,0.5,1,9,9,2312,23.21662998199463,0.8551991851343388,2.627742829693914,0.0
same_drone,MT_s004,1.0,0.5,1,10,10,2346,23.52618908882141,1.0445522279323036,3.2964356654713214,0.013640238704177323
same_drone,MT_s004,1.0,0.5,1,11,11,2666,26.786911964416504,1.0895049305821516,5.887031581065742,0.018754688672168042
same_drone,MT_s004,1.0,0.5,1,12,12,2344,23.593735933303833,0.8776755256784146,2.8645575692941296,0.004266211604095563
same_drone,MT_s004,1.0,0.5,1,13,13,2307,23.15007710456848,1.1385311070652875,3.216902347861078,0.0
same_drone,MT_s004,1.0,0.5,1,14,14,2625,26.3830509185791,0.8846179790971576,3.1315391446542375,0.006095238095238095
same_drone,MT_s004,1.0,0.5,1,15,15,2334,23.44292402267456,0.9647217433774813,3.068253089905505,0.011139674378748929
same_drone,MT_s004,1.0,0.5,2,1,1,2472,24.886879920959473,0.7846601263535149,3.1980631181305665,0.0
same_drone,MT_s004,1.0,0.5,2,2,2,2524,25.33614683151245,1.1922059917858618,3.4264493338417457,0.0
same_drone,MT_s004,1.0,0.5,2,3,3,2665,26.740379095077515,1.0729162477406362,3.001693301549767,0.0
same_drone,MT_s004,1.0,0.5,2,4,4,2618,26.25896406173706,0.8725923268609819,2.5849762118709356,0.0
same_drone,MT_s004,1.0,0.5,2,5,5,2530,25.401978969573975,0.8813333700996964,2.6428542827526114,0.0
same_drone,MT_s004,1.0,0.5,2,6,6,2525,25.403844833374023,0.8527182251336569,3.5666988753447124,0.005544554455445544
same_drone,MT_s004,1.0,0.5,2,7,7,2722,27.329137802124023,1.0517743658192202,7.201503167336128,0.02902277736958119
same_drone,MT_s004,1.0,0.5,2,8,8,2312,23.212925910949707,0.7997127056119453,2.533775816440348,0.0012975778546712802
same_drone,MT_s004,1.0,0.5,2,9,9,2312,23.21662998199463,0.8253069074807797,2.237239732181284,0.0
same_drone,MT_s004,1.0,0.5,2,10,10,2346,23.52618908882141,0.8081336655033837,3.0279323200849433,0.013640238704177323
same_drone,MT_s004,1.0,0.5,2,11,11,2666,26.786911964416504,0.9557836818623677,5.032932136968569,0.01312828207051763
same_drone,MT_s004,1.0,0.5,2,12,12,2344,23.593735933303833,1.063583672822336,3.213860823648825,0.005119453924914676
same_drone,MT_s004,1.0,0.5,2,13,13,2307,23.15007710456848,0.9628531644059706,2.7502162598759248,0.0
same_drone,MT_s004,1.0,0.5,2,14,14,2625,26.3830509185791,0.9711621258852574,3.065071211660171,0.0030476190476190477
same_drone,MT_s004,1.0,0.5,2,15,15,2334,23.44292402267456,0.7814328131038621,3.1081342325799577,0.005141388174807198
same_drone,MT_s004,1.0,0.5,3,1,1,2472,24.886879920959473,0.9022934946247574,2.9884860915866125,0.0
same_drone,MT_s004,1.0,0.5,3,2,2,2524,25.33614683151245,0.9297036548133235,2.7588349877101064,0.0
same_drone,MT_s004,1.0,0.5,3,3,3,2665,26.740379095077515,0.9763172962924784,3.009443743433064,0.002626641651031895
same_drone,MT_s004,1.0,0.5,3,4,4,2618,26.25896406173706,0.8387811956025857,2.5136212330679513,0.0
same_drone,MT_s004,1.0,0.5,3,5,5,2530,25.401978969573975,0.7859569057403419,2.5761751896339815,0.0003952569169960474
same_drone,MT_s004,1.0,0.5,3,6,6,2525,25.403844833374023,0.9302519417838084,3.7123112311147546,0.004752475247524752
same_drone,MT_s004,1.0,0.5,3,7,7,2722,27.329137802124023,1.073249148797558,7.6180487489177935,0.034533431300514325
same_drone,MT_s004,1.0,0.5,3,8,8,2312,23.212925910949707,0.8975742555479229,2.331600921450897,0.008217993079584774
same_drone,MT_s004,1.0,0.5,3,9,9,2312,23.21662998199463,0.863507147530818,2.6558911790098083,0.0
same_drone,MT_s004,1.0,0.5,3,10,10,2346,23.52618908882141,1.0257110134642389,3.1981304040661485,0.013640238704177323
same_drone,MT_s004,1.0,0.5,3,11,11,2666,26.786911964416504,1.2890010876819957,6.0496839230990815,0.0277569392348087
same_drone,MT_s004,1.0,0.5,3,12,12,2344,23.593735933303833,1.1696377485281957,3.657464062485973,0.0
same_drone,MT_s004,1.0,0.5,3,13,13,2307,23.15007710456848,1.055902247648362,2.79975588959843,0.0
same_drone,MT_s004,1.0,0.5,3,14,14,2625,26.3830509185791,1.0071357964068852,3.3044191824348728,0.0026666666666666666
same_drone,MT_s004,1.0,0.5,3,15,15,2334,23.44292402267456,0.9182774357860986,3.0181268596956907,0.006855184233076264
same_drone,MT_s004,1.0,0.5,4,1,1,2472,24.886879920959473,0.9447816604233452,2.5958579004984306,0.0
same_drone,MT_s004,1.0,0.5,4,2,2,2524,25.33614683151245,1.006176677877285,3.0026345544423436,0.0
